Food_Item,Food_Item_VN,Category,Category_VN,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Thai Basil (garnish),Húng quế Thái (dùng để trang trí),Condiment,Gia vị,1,0.1,0,0,0,0,0,0,Dinner,0
Lime Wedge (garnish),Múi chanh (trang trí),Condiment,Gia vị,3,0.1,1,0,0.3,0.2,0,0,Dinner,0
Jalapeno (1 tbsp sliced),Ớt Jalapeno (15 ml thái lát),Vegetable,Rau củ,4,0.1,0.8,0.1,0.4,0.5,1,0,Dinner,0
Hoisin Sauce (1 tbsp),Sốt Hoisin (15 ml),Condiment,Gia vị,35,0.3,8,0.2,0.1,5,220,0,Dinner,0
Sriracha (1 tsp),Tương ớt Sriracha (5 ml),Condiment,Gia vị,5,0.1,1,0.1,0.1,0.8,80,0,Dinner,0
Crepe (1 plain),Bánh Crepe (1 cái không nhân),Grain,Ngũ cốc,90,"46,145.00",14,2,0.5,3,100,25,Breakfast,0
Nutella (1 tbsp),Nutella (15 ml),Condiment,Gia vị,100,"46,143.00",11,6,1,10,10,0,Breakfast,0
Powdered Sugar (1 tsp),"Đường bột (4,2 g)",Condiment,Gia vị,10,0,"46,144.00",0,0,"46,144.00",0,0,Breakfast,0
Sake (3 oz),Calculations are not supported. Please use the Gemini side panel instead.,Beverage,Đồ uống,117,0.4,"46,237.00",0,0,0,4,0,Dinner,0
Edamame (in pod 1 cup),"Đậu nành lông (còn vỏ, khoảng 150 gram)",Legume,Đậu,120,11,9,5,5,2,9,0,Snack,250
Sea Salt (coarse 1/4 tsp),"Muối biển thô (1,5 gam)",Condiment,Gia vị,0,0,0,0,0,0,550,0,Snack,0
Biryani (Chicken 1.5 cups),Cơm Biryani (Gà 355 ml),Meal/Meat,Bữa ăn/Thịt,520,28,60,18,5,6,900,75,Dinner,0
Raita (2 tbsp),Raita (30 ml),Condiment/Dairy,Gia vị/Sữa,30,1,2,2,0.5,"46,143.00",100,5,Dinner,0
Lassi (Mango 1 cup),"Lassi (Xoài, 240 ml)",Beverage,Đồ uống,180,5,30,4,1,28,60,15,Snack,240
Samosa (1 piece vegetable),Samosa (1 miếng rau củ),Snack/Processed,Đồ ăn nhẹ/Chế biến,130,2,18,6,2,1,300,0,Snack,0
Tamarind Chutney (1 tbsp),Tương ớt me (15 ml),Condiment,Gia vị,20,0.1,5,0,0.5,4,120,0,Snack,0
Mint Chutney (1 tbsp),Chutney Bạc hà (15 ml),Condiment,Gia vị,5,0.2,0.5,0,0.3,0.2,150,0,Snack,0
Pani Puri (6 pcs),Pani Puri (6 cái),Snack/Processed,Đồ ăn nhẹ/Chế biến,200,4,35,5,3,2,400,0,Snack,0
Passion Fruit (1 fruit),Chanh dây (1 quả),Fruit,Trái cây,17,0.4,"46,057.00",0.1,1.9,2,5,0,Snack,0
Kimchi Jjigae (1 bowl),Kimchi Jjigae (1 suất),Meal/Soup,Bữa ăn/Súp,350,15,20,22,5,6,1200,30,Dinner,500
Silken Tofu (3oz in soup),Đậu phụ lụa (85g trong súp),Protein/Vegetarian,Chất đạm/Chay,45,5,2,"46,144.00",0.5,1,5,0,Dinner,0
Pork Belly (1 oz in soup),Thịt Ba Chỉ (28g trong súp),Protein/Meat,Chất đạm/Thịt,145,3,0,15,0,0,150,20,Dinner,0
Gochugaru (1 tsp),Bột ớt Hàn Quốc (1 thìa cà phê),Condiment,Gia vị,10,0.3,"46,235.00",0.3,0.5,0.3,1,0,Dinner,0
Gochujang (1 tbsp),Gochujang (15 ml),Condiment,Gia vị,30,0.5,6,0,0.5,4,200,0,Dinner,0
Sesame Oil (1 tsp),Dầu Mè (5 ml),Condiment,Gia vị,40,0,0,"46,146.00",0,0,0,0,Dinner,0
Fish Sauce (1 tsp),Nước mắm (5 ml),Condiment,Gia vị,5,0.4,0.5,0,0,0.4,450,0,Dinner,0
Sugar (1 tsp in broth),Đường (5 g trong nước dùng),Condiment,Gia vị,16,0,4,0,0,4,0,0,Dinner,0
Green Onion (1 tbsp garnish),Hành lá (15 ml dùng để trang trí),Vegetable,Rau củ,3,0.2,0.7,0,0.2,0.2,0,0,Dinner,0
Kombucha (16 oz),Kombucha (473 ml),Beverage,Đồ uống,60,0,14,0,0,12,20,0,Snack,473
Beef Wellington (1 slice),Bò Wellington (1 lát),Meal/Meat,Bữa ăn/Thịt,600,30,35,38,4,4,850,100,Dinner,0
Pate (Mushroom 2 tbsp),Pate Nấm (30 ml),Condiment,Gia vị,70,1,2,7,1,1,100,0,Dinner,0
Puff Pastry (1 oz wrapper),"Bột bánh ngàn lớp (gói 28,35 g)",Grain,Ngũ cốc,115,"46,143.00",9,8,0.5,0,100,0,Dinner,0
Prosciutto (1 slice),Thịt nguội Prosciutto (1 lát),Protein/Meat,Chất đạm/Thịt,35,4,0,"46,144.00",0,0,280,10,Dinner,0
Asparagus (6 spears roasted),Măng tây (6 cọng nướng),Vegetable,Rau củ,40,4,4,2,3,2,150,0,Dinner,0
Hollandaise Sauce (1 tbsp),Sốt Hollandaise (15 mL),Condiment,Gia vị,55,0.5,0.2,6,0,0.1,75,25,Dinner,0
Flan (1 slice),Bánh Flan (1 phần ăn),Dessert,Tráng miệng,220,6,35,7,0,33,80,90,Snack,0
Caramel Sauce (1 tbsp),Xốt Caramel (15 ml),Condiment,Gia vị,60,0,13,1,0,12,30,5,Snack,0
Congee (1 cup plain),Cháo (240 ml nguyên chất),Meal/Grain,Bữa ăn/Ngũ cốc,130,"46,144.00",28,1,1,0.5,300,0,Breakfast,0
Pickled Radish (1/4 cup),Củ cải muối (60 g),Vegetable,Rau củ,15,0.5,3,0,1,2,250,0,Breakfast,0
Pork Floss (1 tbsp),Chà bông heo (15 ml),Protein/Meat,Chất đạm/Thịt,50,4,3,2,0,"46,144.00",150,10,Breakfast,0
Century Egg (1 egg),Trứng bách thảo (1 quả trứng),Protein,Chất đạm,100,7,1,7,0,0.5,300,200,Breakfast,0
Arugula (2 cups),Rau Arugula (40 gam),Vegetable,Rau củ,10,1,0.8,0.2,0.4,0.4,6,0,Lunch,0
Goat Cheese (1 oz),"Phô mai Dê (28,35 g)",Dairy,Sản phẩm từ sữa,103,"46,028.00",0.1,"46,150.00",0,0.1,146,22,Lunch,0
Beets (1/2 cup roasted),Củ dền (100 gram nướng),Vegetable,Rau củ,30,0.8,"46,240.00",0.1,1.4,"46,239.00",50,0,Lunch,0
Walnuts (1 tbsp chopped),Quả óc chó (8 gram băm nhỏ),Nut,Hạt,46,"46,023.00",1,"46,177.00",0.5,0.2,0,0,Lunch,0
Balsamic Glaze (1 tbsp),Lớp tráng men Balsamic (1 muỗng canh),Condiment,Gia vị,40,0,9,0,0,8,10,0,Lunch,0
Bobotie (1 serving),Bobotie (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,450,25,30,25,5,15,700,150,Dinner,0
Yellow Rice (1 cup),Cơm vàng (163g),Grain,Ngũ cốc,230,4,50,1,2,1,300,0,Dinner,0
Chutney (Mango 1 tbsp),Tương ớt xoài (15 ml),Condiment,Gia vị,45,0.1,11,0.1,0.5,10,180,0,Dinner,0
Malva Pudding (1 slice),Bánh Malva Pudding (1 lát cắt),Dessert,Tráng miệng,380,5,60,14,2,40,350,60,Snack,0
Custard (1/4 cup),Bánh trứng sữa (khoảng 59 ml),Condiment,Gia vị,80,3,10,3,0,8,40,40,Snack,0
Bubble Tea (16 oz milk tea),Trà Sữa (473 ml trà sữa),Beverage,Đồ uống,320,2,70,4,1,60,100,10,Snack,473
Tapioca Pearls (1/4 cup boba),Hạt trân châu (59 ml trân châu),Condiment,Gia vị,100,0,25,0,0,20,5,0,Snack,0
Paella (1.5 cups seafood),Paella (213 g hải sản),Meal/Rice,Bữa ăn/Cơm,550,30,70,18,6,5,1200,110,Dinner,0
Chorizo (1 oz in paella),Chorizo (28 g trong món cơm thập cẩm Paella),Protein/Meat,Chất đạm/Thịt,130,6,1,11,0,0.5,350,30,Dinner,0
Saffron (pinch),Nghệ tây (nhúm),Condiment,Gia vị,1,0,0.1,0,0,0,0,0,Dinner,0
Aioli (Garlic 1 tbsp),Aioli (Tương tỏi 1 thìa canh),Condiment,Gia vị,95,0.1,0.5,"46,152.00",0,0.1,70,5,Dinner,0
Gazpacho (1 cup),Gazpacho (khoảng 240 mL),Meal/Soup,Bữa ăn/Súp,90,2,12,4,3,7,600,0,Lunch,240
Croutons (Garlic 1/4 cup),"Bánh mì sấy giòn (Tỏi, 60 mililít)",Grain,Ngũ cốc,50,"46,143.00",7,2,0.5,0.5,140,0,Lunch,0
Olive Oil (1 tsp garnish),Dầu ô liu (5 ml dùng để trang trí),Condiment,Gia vị,40,0,0,"46,146.00",0,0,0,0,Lunch,0
Churros (2 sticks),Bánh Churros (2 que),Dessert,Tráng miệng,240,3,30,12,1.5,10,200,20,Snack,0
Chocolate Sauce (1 tbsp dipping),Sốt sô-cô-la (15 ml dùng để chấm),Condiment,Gia vị,50,0.5,10,"46,143.00",1,8,5,0,Snack,0
Cinnamon Sugar (1 tsp),Đường Quế (5 ml),Condiment,Gia vị,20,0,5,0,0,5,0,0,Snack,0
Horchata (1 cup),Nước uống Horchata (240 mL),Beverage,Đồ uống,140,2,25,3,1,22,30,5,Snack,240
Ceviche (1 cup fish),Ceviche (236.59 gam cá),Meal/Fish,Bữa ăn/Cá,180,25,15,2,3,4,700,45,Lunch,0
Red Onion (1/4 cup in ceviche),Hành tây đỏ (khoảng 60 ml trong món gỏi cá sống),Vegetable,Rau củ,16,0.3,"46,206.00",0,0.4,"46,235.00",1,0,Lunch,0
Cilantro (2 tbsp garnish),Ngò rí (30 ml trang trí),Condiment,Gia vị,1,0.1,0,0,0.1,0,0,0,Lunch,0
Corn Nuts (1 oz),Hạt bắp rang (28 g),Snack/Processed,Đồ ăn nhẹ/Chế biến,130,2,23,4,2,0,180,0,Snack,0
Lomo Saltado (1.5 cups),Lomo Saltado (Khẩu phần 355 ml),Meal/Meat,Bữa ăn/Thịt,500,35,45,22,5,6,1100,90,Dinner,0
French Fries (as side),Khoai tây chiên (phần ăn kèm),Vegetable/Processed,Rau củ/Chế biến,200,2,25,10,2,0.2,130,0,Dinner,0
Soy Sauce (1 tbsp in stir-fry),Nước tương (15 ml trong món xào),Condiment,Gia vị,9,1,1,0,0.1,0.4,920,0,Dinner,0
Aji Amarillo Paste (1 tsp),Tương ớt Aji Amarillo (khoảng 5 ml),Condiment,Gia vị,5,0.1,1,0,0.5,0.5,50,0,Dinner,0
Pisco Sour (1 drink),Pisco Sour (1 đơn vị uống),Beverage,Đồ uống,250,1,25,0,0,24,5,5,Snack,180
Egg White (in drink),Lòng trắng trứng (trong thức uống),Condiment,Gia vị,17,"46,176.00",0.2,0,0,0.2,55,0,Snack,0
Angostura Bitters (dash),Rượu đắng Angostura (1 mL),Condiment,Gia vị,5,0,0,0,0,0,0,0,Snack,0
Alfajores (1 cookie),Bánh quy Alfajores (1 cái),Dessert,Tráng miệng,180,2,22,10,1,15,60,20,Snack,0
Dulce de Leche (1 tbsp filling),Sốt caramen sữa đặc (15 g nhân),Condiment,Gia vị,65,1,12,"46,143.00",0,10,30,5,Snack,0
Coconut (shredded garnish),Dừa nạo (dùng để trang trí),Fruit,Trái cây,10,0.1,0.5,1,0.2,0.1,0,0,Snack,0
Mate (1 cup),Trà Mate (240 ml),Beverage,Đồ uống,5,0.2,1,0,0,0,2,0,Breakfast,240
Media Luna (1 pastry),Bánh Sừng Bò Nhân Đường (1 chiếc),Grain,Ngũ cốc,190,4,25,8,1,9,150,25,Breakfast,0
Chimichurri (1 tbsp),Xốt Chimichurri (15 ml),Condiment,Gia vị,45,0.1,0.5,"46,146.00",0.2,0.1,100,0,Dinner,0
Skirt Steak (4oz grilled),"Thịt bít tết sườn (113,4g nướng)",Protein/Meat,Chất đạm/Thịt,240,26,0,15,0,0,70,80,Dinner,0
Provoleta (1 oz grilled cheese),Provoleta (30 g phô mai nướng),Dairy,Sản phẩm từ sữa,100,7,1,8,0,0.5,250,20,Dinner,0
Oregano (1 tsp),Kinh giới cay (5 ml),Condiment,Gia vị,3,0.1,0.7,0,0.2,0,0,0,Dinner,0
Empanada (Beef 1 medium),Bánh Empanada nhân thịt bò (1 cái cỡ trung bình),Meal/Processed,Bữa ăn/Chế biến,290,10,28,16,3,3,550,30,Lunch,0
Chicken Milanesa (1 serving),Thịt gà Milanese (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,450,35,30,22,3,2,700,100,Dinner,0
Mashed Potatoes (side),Khoai tây nghiền (món ăn kèm),Vegetable,Rau củ,150,3,25,4,2,2,300,10,Dinner,0
Choripan (1 sandwich),Choripan (1 bánh mì kẹp),Meal/Processed,Bữa ăn/Chế biến,550,20,40,35,3,4,1100,80,Lunch,250
Baguette (slice),Bánh mì (lát),Grain,Ngũ cốc,70,"46,144.00",14,0.5,0.6,0.5,150,0,Lunch,0
Chimichurri (1 tbsp),Chimichurri (15 ml),Condiment,Gia vị,45,0.1,0.5,"46,146.00",0.2,0.1,100,0,Lunch,0
Pizza (Margherita 1 slice),Bánh Pizza (Margherita 1 lát),Meal/Processed,Bữa ăn/Chế biến,250,12,30,10,3,4,600,25,Dinner,250
Fresh Mozzarella (1 oz),"Phô mai Mozzarella tươi (khoảng 28,35 g)",Dairy,Sản phẩm từ sữa,72,5,0.8,5,0,0.3,138,22,Dinner,0
Basil (2 tbsp fresh),Húng quế (30 ml tươi),Condiment,Gia vị,1,0.1,0.1,0,0.1,0,0,0,Dinner,0
Carbonara (1.5 cups),"Mì Ý Carbonara (354,882 ml)",Meal/Pasta,Bữa ăn/Mì ống,650,25,60,35,4,4,900,250,Dinner,0
Guanciale (1 oz),"Má Heo Muối Sấy (Guanciale) (28,35 g)",Protein/Meat,Chất đạm/Thịt,170,3,0,18,0,0,450,35,Dinner,0
Pecorino Cheese (1 tbsp),Phô mai Pecorino (khoảng 15 ml),Dairy,Sản phẩm từ sữa,25,"46,143.00",0.1,2,0,0,110,6,Dinner,0
Black Pepper (1/4 tsp),Hạt tiêu đen (khoảng 0.6g),Condiment,Gia vị,1,0,0.2,0,0.1,0,0,0,Dinner,0
Egg Yolk (1 large in sauce),Lòng đỏ trứng (1 quả lớn trong nước sốt),Protein,Chất đạm,55,"46,205.00",0.6,"46,146.00",0,0.3,8,184,Dinner,0
Supplì (1 piece fried rice ball),Supplì (1 viên cơm chiên),Snack/Processed,Đồ ăn nhẹ/Chế biến,200,8,25,8,2,2,400,25,Snack,0
Aperol Spritz (1 drink),Aperol Spritz (1 ly),Beverage,Đồ uống,180,0,20,0,0,20,10,0,Snack,150
Prosecco (3 oz),Prosecco (khoảng 89 mL),Beverage,Đồ uống,70,0,2,0,0,"46,143.00",5,0,Snack,0
Club Soda (2 oz),Soda (59 ml),Beverage,Đồ uống,0,0,0,0,0,0,20,0,Snack,0
Orange Slice (garnish),Lát cam (trang trí món ăn),Fruit,Trái cây,5,0.1,1,0,0.2,0.8,0,0,Snack,0
Tagliatelle al Ragù (Bolognese),Tagliatelle al Ragù (Sốt Bolognese),Meal/Pasta,Bữa ăn/Mì ống,550,28,65,20,7,8,850,70,Dinner,500
Ground Beef (2 oz in sauce),Thịt Bò Xay (56.7 g trong sốt),Protein/Meat,Chất đạm/Thịt,140,11,0,10,0,0,40,35,Dinner,0
Pancetta (0.5 oz in sauce),"Thịt ba chỉ muối cuộn Pancetta (14,17 g trong nước sốt)",Protein/Meat,Chất đạm/Thịt,45,"46,143.00",0,"46,146.00",0,0,160,10,Dinner,0
Carrot (1/4 minced in sauce),Cà rốt (1/4 băm nhỏ trong nước sốt),Vegetable,Rau củ,10,0.2,"46,114.00",0.1,0.7,"46,054.00",17,0,Dinner,0
Celery (1/4 stalk minced),Cần tây (một phần tư cọng thái nhỏ),Vegetable,Rau củ,2,0.1,0.4,0,0.2,0.2,12,0,Dinner,0
Onion (1/8 minced in sauce),Hành tây (một phần tám củ băm nhỏ trong nước sốt),Vegetable,Rau củ,5,0.1,"46,054.00",0,0.2,0.6,1,0,Dinner,0
Crushed Tomatoes (1/2 cup sauce),Cà chua nghiền (120 mL sốt),Vegetable,Rau củ,20,1,4,0,1.5,3,200,0,Dinner,0
Parmigiano-Reggiano (1 tbsp),Phô mai Parmigiano-Reggiano (15 mL),Dairy,Sản phẩm từ sữa,22,2,0.2,"46,143.00",0,0,95,4,Dinner,0
Cannoli (1 medium),Bánh Cannoli (1 chiếc cỡ vừa),Dessert,Tráng miệng,240,5,25,13,1,18,100,30,Snack,0
Ricotta (filling 1 oz),Ricotta (nhân 28.35 g),Dairy,Sản phẩm từ sữa,49,"46,056.00",0.8,"46,237.00",0,0.1,23,14,Snack,0
Pistachio (garnish),Hạt hồ trăn (trang trí),Nut,Hạt,10,0.4,0.5,0.8,0.2,0.1,0,0,Snack,0
Biscotti (1 cookie),Bánh Biscotti (1 đơn vị bánh quy),Dessert,Tráng miệng,110,2,18,4,1,9,50,15,Snack,0
Espresso (for dipping),Cà phê espresso (dùng để chấm),Beverage,Đồ uống,2,0.2,0,0,0,0,1,0,Snack,30
Focaccia (1 square),Focaccia (1 miếng vuông),Grain,Ngũ cốc,250,8,40,7,2,2,500,0,Lunch,0
Rosemary (1 tsp topping),Hương thảo (1g rắc/trang trí),Condiment,Gia vị,1,0,0.2,0,0.1,0,0,0,Lunch,0
Coarse Salt (garnish),Muối hạt (dùng để trang trí),Condiment,Gia vị,0,0,0,0,0,0,200,0,Lunch,0
Olive Oil (1 tbsp drizzle),Dầu Ô liu (15 ml rưới nhẹ),Condiment,Gia vị,120,0,0,14,0,0,0,0,Lunch,0
Bruschetta (2 pcs),Bruschetta (2 miếng),Snack/Appetizer,Đồ ăn nhẹ/Khai vị,180,4,25,7,3,4,350,0,Snack,0
Balsamic Glaze (1 tsp),Sốt giấm Balsamic (5 ml),Condiment,Gia vị,13,0,3,0,0,"46,205.00",3,0,Snack,0
Ribollita (1.5 cups soup),Ribollita (Khẩu phần 355 mililit súp),Meal/Soup,Bữa ăn/Súp,350,15,55,8,14,10,900,5,Dinner,500
Cannellini Beans (1/2 cup in soup),Đậu Cannellini (130 gram trong súp),Legume,Đậu,105,7,20,0.5,6,1,230,0,Dinner,0
Kale (1 cup in soup),Cải xoăn (240g trong súp),Vegetable,Rau củ,33,"46,267.00",6,0.6,2,1,29,0,Dinner,0
Stale Bread (1/2 cup in soup),Bánh mì cũ (60 gram trong súp),Grain,Ngũ cốc,80,3,15,1,1,"46,143.00",160,0,Dinner,0
Polenta (1 cup creamy),Polenta (250g dạng kem),Meal/Grain,Bữa ăn/Ngũ cốc,150,3,32,1,3,1,350,5,Dinner,0
Gorgonzola Cheese (1 oz),Phô mai Gorgonzola (28g),Dairy,Sản phẩm từ sữa,100,6,0.7,8,0,0.1,325,21,Dinner,0
Negroni (1 drink),Negroni (1 khẩu phần),Beverage,Đồ uống,190,0,15,0,0,15,5,0,Snack,90
Gin (1 oz),Rượu Gin (30 ml),Beverage,Đồ uống,70,0,0,0,0,0,0,0,Snack,0
Campari (1 oz),Campari (29.57 ml),Beverage,Đồ uống,80,0,10,0,0,10,5,0,Snack,0
Sweet Vermouth (1 oz),Rượu Vermouth Ngọt (30 ml),Beverage,Đồ uống,40,0,5,0,0,5,0,0,Snack,0
Orange Peel (garnish),Vỏ cam (trang trí thực phẩm),Condiment,Gia vị,1,0,0.2,0,0.1,0,0,0,Snack,0
Osso Buco (1 serving),Osso Buco (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,550,45,15,30,4,6,900,150,Dinner,0
Gremolata (1 tbsp),Gremolata (15 ml),Condiment,Gia vị,15,0.5,1,1,0.5,0.5,5,0,Dinner,0
Risotto alla Milanese (1 cup),Risotto alla Milanese (khoảng 240ml),Meal/Rice,Bữa ăn/Cơm,350,10,50,12,3,3,700,30,Dinner,0
Saffron (pinch in risotto),Nghệ tây (một nhúm trong món cơm Ý risotto),Condiment,Gia vị,1,0,0.1,0,0,0,0,0,Dinner,0
Panettone (1 slice),Bánh Panettone (1 lát),Dessert,Tráng miệng,320,6,50,12,3,25,200,70,Snack,0
Candied Fruit (1 tbsp),Trái cây Sấy dẻo/Kẹo trái cây (15 ml),Fruit,Trái cây,30,0,8,0,0.5,8,5,0,Snack,0
Amaretti Cookie (2 cookies),Bánh quy Amaretti (2 cái),Dessert,Tráng miệng,90,2,12,4,1,10,10,0,Snack,0
Limoncello (1.5 oz shot),Rượu Limoncello (cốc nhỏ 45 ml),Beverage,Đồ uống,150,0,18,0,0,18,0,0,Snack,0
Panna Cotta (1 serving),Panna Cotta (1 khẩu phần),Dessert,Tráng miệng,300,4,25,20,0,22,50,70,Snack,0
Berry Coulis (1 tbsp),Sốt coulis trái cây (15 ml),Condiment,Gia vị,20,0,5,0,0.5,"46,146.00",0,0,Snack,0
Saltimbocca (1 serving),Saltimbocca (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,380,38,5,22,0.5,1,850,120,Dinner,0
Prosciutto (1 slice wrapper),Thịt đùi lợn muối Prosciutto (1 lát đóng gói),Protein/Meat,Chất đạm/Thịt,35,4,0,"46,144.00",0,0,280,10,Dinner,0
Sage (2 leaves),Lá Xô thơm (2 lá),Condiment,Gia vị,1,0,0.1,0,0.1,0,0,0,Dinner,0
Polenta (grilled 1 slice),"Bột bắp (nướng, 1 lát)",Meal/Grain,Bữa ăn/Ngũ cốc,120,"46,144.00",25,1,2,0.5,300,0,Dinner,0
Caponata (1/2 cup),Caponata (120 ml),Meal/Vegetable,Bữa ăn/Rau củ,180,2,15,14,5,9,400,0,Dinner,0
Eggplant (1/2 cup in caponata),Cà tím (120 ml trong món caponata),Vegetable,Rau củ,40,0.5,6,2,2,3,150,0,Dinner,0
Pine Nuts (1/2 tbsp),Hạt thông (7.4 ml),Nut,Hạt,48,1,1,5,0.2,0.2,0,0,Dinner,0
Raisins (1 tbsp),Nho khô (khoảng 15g),Fruit,Trái cây,27,0.3,7,0,0.3,6,1,0,Dinner,0
Gelato (Pistachio 1/2 cup),Gelato (Hồ trăn 120 ml),Dessert,Tráng miệng,220,5,24,12,2,20,60,40,Snack,0
Waffle Cone (1 small),Ốc quế Bánh Kẹp (1 chiếc nhỏ),Grain,Ngũ cốc,70,1,13,"46,143.00",0.5,7,30,5,Snack,0
Cacio e Pepe (1.5 cups),Món mỳ Cacio e Pepe (355 ml),Meal/Pasta,Bữa ăn/Mì ống,500,18,65,19,4,3,700,50,Dinner,0
Pecorino Romano (1/4 cup),Phô mai Pecorino Romano (khoảng 60 ml),Dairy,Sản phẩm từ sữa,110,"46,149.00",1,"46,150.00",0,0,450,25,Dinner,0
Black Pepper (1/2 tsp),"Tiêu đen (khoảng 1,15 g)",Condiment,Gia vị,3,0.1,0.7,0,0.3,0,0,0,Dinner,0
Fiorentina Steak (3oz portion),Bít tết Fiorentina (khẩu phần 85g),Protein/Meat,Chất đạm/Thịt,230,24,0,15,0,0,60,75,Dinner,0
Olive Oil (1 tbsp drizzle),Dầu Ô-liu (rưới nhẹ 15 ml),Condiment,Gia vị,120,0,0,14,0,0,0,0,Dinner,0
Rosemary (garnish),Hương thảo (trang trí),Condiment,Gia vị,1,0,0.2,0,0.1,0,0,0,Dinner,0
White Beans (Tuscan style 1/2 cup),"Đậu trắng (kiểu Tuscan, 120 ml)",Legume,Đậu,150,8,20,4,7,2,350,0,Dinner,0
Garlic (1 clove in beans),Tỏi (1 tép trong đậu),Vegetable,Rau củ,4,0.2,0.9,0,0.1,0,1,0,Dinner,0
Sage (in beans),Cây xô thơm (trong các loại đậu),Condiment,Gia vị,1,0,0.1,0,0.1,0,0,0,Dinner,0
Arancini (1 large ball),Arancini (1 viên lớn),Snack/Processed,Đồ ăn nhẹ/Chế biến,250,9,30,10,3,3,500,30,Snack,0
Ragù (filling 1 tbsp),"Sốt Ragù (nhân, 15 gam)",Condiment,Gia vị,25,"46,143.00",1,"46,143.00",0.5,0.5,60,5,Snack,0
Mozzarella (filling 0.5 oz),Mozzarella (nhân 14.17 gram),Dairy,Sản phẩm từ sữa,40,3,0.5,3,0,0.2,75,10,Snack,0
Breadcrumbs (coating),Bột chiên xù (lớp phủ),Grain,Ngũ cốc,25,0.5,4,0.5,0.5,0.5,50,0,Snack,0
Campari & Soda (1 drink),Campari và Soda (1 khẩu phần đồ uống),Beverage,Đồ uống,85,0,10,0,0,10,25,0,Snack,150
Olive (garnish),Quả ô liu (phụ gia trang trí),Fruit,Trái cây,5,0,0.1,0.5,0.1,0,30,0,Snack,0
Vitello Tonnato (1 serving),Thịt bê sốt cá ngừ (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,380,35,3,25,0.5,1,600,110,Lunch,0
Tuna Sauce (2 tbsp),Sốt Cá Ngừ (30 ml),Condiment,Gia vị,100,4,1,9,0,0.5,200,15,Lunch,0
Capers (garnish),Cây bạch hoa (gia vị trang trí),Condiment,Gia vị,2,0.2,0.4,0.1,0.3,0.1,200,0,Lunch,0
Lemon Slice (garnish),Lát chanh (trang trí),Condiment,Gia vị,1,0,0.3,0,0.1,0.1,0,0,Lunch,0
Gnocchi alla Sorrentina (1.5 cups),Gnocchi alla Sorrentina (355 ml),Meal/Pasta,Bữa ăn/Mì ống,450,15,60,18,6,9,800,40,Dinner,0
Tomato Sauce (1/2 cup),Sốt cà chua (120 ml),Condiment,Gia vị,40,"46,143.00",7,1,2,4,350,0,Dinner,0
Mozzarella (1 oz melted),"Phô mai Mozzarella (28,35 g đã làm tan chảy)",Dairy,Sản phẩm từ sữa,80,6,1,6,0,0.5,150,20,Dinner,0
Basil (fresh garnish),Húng quế (rau thơm tươi trang trí),Condiment,Gia vị,1,0.1,0,0,0.1,0,0,0,Dinner,0
Pesto (1/4 cup),Pesto (60 ml),Condiment,Gia vị,290,5,4,29,2,1,600,5,Dinner,0
Pine Nuts (1 tbsp in pesto),Hạt thông (15 ml trong xốt Pesto),Nut,Hạt,95,2,2,10,0.5,0.5,0,0,Dinner,0
Garlic (1/2 clove in pesto),Tỏi (1/2 tép trong sốt pesto),Vegetable,Rau củ,2,0.1,0.5,0,0,0,0,0,Dinner,0
Trofie Pasta (1 cup cooked),Mì ống Trofie (khoảng 140 gram nấu chín),Grain,Ngũ cốc,210,7,43,1,2,1,5,0,Dinner,0
Green Beans (1/2 cup w/ pasta),Đậu que (120 gram với mì ống),Vegetable,Rau củ,15,0.9,"46,145.00",0.1,1.3,"46,174.00",3,0,Dinner,0
Potato (1/2 w/ pasta),Khoai tây (1/2 khẩu phần dùng kèm pasta),Vegetable,Rau củ,65,1,15,0.1,1,0.5,3,0,Dinner,0
Espresso Martini (1 drink),Espresso Martini (1 phần uống),Beverage,Đồ uống,280,0.5,25,0,0,25,5,0,Snack,120
Vodka (1.5 oz),"Vodka (khoảng 44,4 ml)",Beverage,Đồ uống,97,0,0,0,0,0,0,0,Snack,0
Coffee Liqueur (1 oz),Rượu mùi Cà phê (khoảng 30 ml),Beverage,Đồ uống,100,0,15,0,0,15,2,0,Snack,0
Espresso (1 oz in drink),Espresso (30 ml trong đồ uống),Beverage,Đồ uống,3,0.3,0,0.1,0,0,1,0,Snack,0
Simple Syrup (1/2 oz),Siro đơn (15 ml),Condiment,Gia vị,30,0,8,0,0,8,0,0,Snack,0
Coffee Beans (3 garnish),Hạt cà phê (3 trang trí),Snack,Đồ ăn nhẹ,2,0.1,0.3,0,0.1,0,0,0,Snack,0
Baba Ganoush (1/4 cup),Baba Ganoush (khoảng 60 ml),Meal/Vegetable,Bữa ăn/Rau củ,100,2,8,7,4,2,300,0,Snack,0
