recipe_code,category,category_vn,area,area_vn,name_en,name_vi
apam-balik,Dessert,Món tráng miệng,Malaysian,Malaysia,Apam balik,Bánh kếp ngọt
duck-confit,Miscellaneous,Hỗn hợp,French,Pháp,Duck Confit,Đùi Vịt Nấu Mỡ
cabbage-soup-shchi,Vegetarian,Chay,Russian,Nga,Cabbage Soup (Shchi),Súp Bắp Cải
roast-aubergine-with-goats-cheese--toasted-flatbread,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Roast aubergine with goat's cheese & toasted flatbread,Cà tím nướng phô mai dê với bánh mì nướng
parkin-cake,Dessert,Món tráng miệng,British,Anh,Parkin Cake,Bánh Gừng Mật Mía
fyrstekake--norwegian-prince-cake,Dessert,Món tráng miệng,Norwegian,Na Uy,Fyrstekake – Norwegian Prince Cake,Bánh Hoàng Tử Na Uy
spring-onion-and-prawn-empanadas,Seafood,Hải sản,Portuguese,Bồ Đào Nha,Spring onion and prawn empanadas,Bánh gối tôm và hành lá
hot-cumin-lamb-wrap-with-crunchy-slaw--spicy-mayo,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Hot cumin lamb wrap with crunchy slaw & spicy mayo,Bánh mì kẹp thịt cừu thì là cay với gỏi giòn và sốt mayo cay
prawn--noodle-salad-with-crispy-shallots,Seafood,Hải sản,Vietnamese,Việt Nam,Prawn & noodle salad with crispy shallots,Gỏi tôm bún hành phi
burek,Side,Món ăn kèm,Croatian,Croatia,Burek,Bánh Pâté Sô (hoặc Bánh Nướng)
classic-tourtière,Beef,Thịt bò,Canadian,Ca-na-đa,Classic Tourtière,Bánh Tourtière cổ điển
fried-calamari,Seafood,Hải sản,Spanish,Tây Ban Nha,Fried calamari,Mực chiên giòn
timbits,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Timbits,Bánh donut bi
cacik,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Cacik,Sữa chua dưa chuột
pomegranate-salad,Vegetarian,Chay,Polish,Ba Lan,Pomegranate salad,Gỏi lựu
chicken--mushroom-hotpot,Chicken,Thịt gà,British,Anh,Chicken & mushroom Hotpot,Lẩu gà nấm
smoky-lentil-chili-with-squash,Vegetarian,Chay,British,Anh,Smoky Lentil Chili with Squash,Ớt đậu lăng và bí đỏ hun khói
molasses-baked-beans,Vegetarian,Chay,Canadian,Ca-na-đa,Molasses Baked Beans,Đậu hầm mật đường
red-curry-chicken-kebabs,Chicken,Thịt gà,Thai,Thái,Red curry chicken kebabs,Gà xiên que cà ri đỏ
algerian-bouzgene-berber-bread-with-roasted-pepper-sauce,Side,Món ăn kèm,Algerian,Algeria,Algerian Bouzgene Berber Bread with Roasted Pepper Sauce,Bánh mì Bouzgene Berber Algeria với sốt ớt chuông nướng
polskie-nalesniki-polish-pancakes,Dessert,Món tráng miệng,Polish,Ba Lan,Polskie Nalesniki (Polish Pancakes),Bánh xèo Ba Lan
chickpea-fajitas,Vegetarian,Chay,Mexican, Mexico,Chickpea Fajitas,Fajita Đậu gà
tom-yum-soup-with-prawns,Seafood,Hải sản,Thai,Thái,Tom yum soup with prawns,Canh Tom Yum Tôm
bitterballen-dutch-meatballs,Beef,Thịt bò,Dutch,Hà Lan,Bitterballen (Dutch meatballs),Thịt viên Hà Lan
sushi,Seafood,Hải sản,Japanese,Nhật Bản,Sushi,Món sushi
lamb-tagine,Lamb,Thịt cừu,Moroccan,Ma-rốc,Lamb Tagine,Tagine Thịt Cừu
tunisian-orange-cake,Dessert,Món tráng miệng,Tunisian,Tunisia,Tunisian Orange Cake,Bánh cam
rosemary-braised-red-cabbage-with-kabanos,Pork,Thịt heo,Ukrainian,ukraine,Rosemary braised red cabbage with kabanos,Bắp cải tím om xông khói kabanos và hương thảo
ma-po-tofu,Beef,Thịt bò,Chinese,Tiếng Trung,Ma Po Tofu,Đậu hũ Tứ Xuyên
fish-fofos,Seafood,Hải sản,Portuguese,Bồ Đào Nha,Fish fofos,Chả cá viên
christmas-pudding-trifle,Dessert,Món tráng miệng,British,Anh,Christmas Pudding Trifle,Bánh Giáng Sinh Xếp Lớp
polish-patties-kotlety,Side,Món ăn kèm,Polish,Ba Lan,Polish patties (kotlety),Chả viên Ba Lan
syrian-bread,Miscellaneous,Hỗn hợp,Syrian,Syria,Syrian Bread,Bánh mì Syria
braised-beef-chilli,Beef,Thịt bò,Mexican, Mexico,Braised Beef Chilli,Thịt Bò Kho
pollo-en-pepitoria,Chicken,Thịt gà,Spanish,Tây Ban Nha,Pollo en pepitoria,Gà om sốt hạnh nhân
rocky-road-fudge,Dessert,Món tráng miệng,American,Mỹ,Rocky Road Fudge,Kẹo bơ đường Rocky Road
silken-tofu-with-sesame-soy-sauce,Vegetarian,Chay,Chinese,Tiếng Trung,Silken Tofu with Sesame Soy Sauce,Đậu Hủ Lụa Sốt Xì Dầu Mè
chorizo--soft-boiled-egg-salad,Pork,Thịt heo,Spanish,Tây Ban Nha,Chorizo & soft-boiled egg salad,Salad trứng lòng đào xúc xích Chorizo
snert-dutch-split-pea-soup,Side,Món ăn kèm,Dutch,Hà Lan,Snert (Dutch Split Pea Soup),Súp Đậu Hà Lan
pilchard-puttanesca,Pasta,Mì,Italian,Ý,Pilchard puttanesca,Cá trích sốt Puttanesca
eccles-cakes,Dessert,Món tráng miệng,British,Anh,Eccles Cakes,Bánh Eccles
oxtail-with-broad-beans,Beef,Thịt bò,Jamaican,Jamaica,Oxtail with broad beans,Đuôi bò nấu đậu
christmas-pudding-flapjack,Dessert,Món tráng miệng,British,Anh,Christmas Pudding Flapjack,Bánh yến mạch Giáng Sinh
falafel,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Falafel,Chả đậu gà
chinese-tomato-egg-stir-fry,Vegetarian,Chay,Chinese,Tiếng Trung,Chinese Tomato Egg Stir Fry,Trứng xào cà chua
locro,Miscellaneous,Hỗn hợp,Argentinian,Argentina,Locro,Súp đặc Locro
sea-bass-with-sizzled-ginger-chilli--spring-onions,Seafood,Hải sản,Vietnamese,Việt Nam,"Sea bass with sizzled ginger, chilli & spring onions",Cá chẽm hấp gừng hành ớt
vietnamese-style-veggie-hotpot,Vegetarian,Chay,Vietnamese,Việt Nam,Vietnamese-style veggie hotpot,Lẩu chay
stamppot,Pork,Thịt heo,Dutch,Hà Lan,Stamppot,Khoai tây nghiền
beef-asado,Beef,Thịt bò,Filipino,Philippines,Beef Asado,Bò Hầm
lasagna-sandwiches,Pasta,Mì,American,Mỹ,Lasagna Sandwiches,Bánh mì Lasagna
chicken--chorizo-rice-pot,Chicken,Thịt gà,Spanish,Tây Ban Nha,Chicken & chorizo rice pot,Cơm Thịt Gà và Chorizo
chakchouka-,Miscellaneous,Hỗn hợp,Tunisian,Tunisia,Chakchouka,Trứng sốt cà chua
tarte-tatin,Dessert,Món tráng miệng,French,Pháp,Tarte Tatin,Bánh Tarte Tatin
english-breakfast,Breakfast,Bữa sáng,British,Anh,English Breakfast,Bữa sáng kiểu Anh
squash-linguine,Vegetarian,Chay,Italian,Ý,Squash linguine,Mì Ý Bí
pork-cassoulet,Pork,Thịt heo,French,Pháp,Pork Cassoulet,Cassoulet Thịt Heo
spanish-tomato-bread-with-jamón-serrano,Pork,Thịt heo,Spanish,Tây Ban Nha,Spanish tomato bread with jamón Serrano,Bánh mì cà chua Tây Ban Nha và giăm bông Serrano
chorizo-potato--cheese-omelette,Pork,Thịt heo,Spanish,Tây Ban Nha,"Chorizo, potato & cheese omelette","Trứng cuộn Chorizo, Khoai tây và Phô mai"
baba-ghanoush,Side,Món ăn kèm,Syrian,Syria,Baba Ghanoush,Cà tím nghiền
chelsea-buns,Dessert,Món tráng miệng,British,Anh,Chelsea Buns,Bánh cuộn Chelsea
jamaican-curry-chicken-recipe,Chicken,Thịt gà,Jamaican,Jamaica,Jamaican Curry Chicken Recipe,Cà Ri Gà
thai-pumpkin-soup,Vegetarian,Chay,Thai,Thái,Thai pumpkin soup,Súp bí đỏ kiểu Thái
spaghetti-alla-carbonara,Pasta,Mì,Italian,Ý,Spaghetti alla Carbonara,Mì Ý Carbonara
sauerkraut-pierogi,Vegetarian,Chay,Polish,Ba Lan,Sauerkraut pierogi,Bánh xếp bắp cải ngâm giấm
french-onion-chicken-with-roasted-carrots--mashed-potatoes,Chicken,Thịt gà,American,Mỹ,French Onion Chicken with Roasted Carrots & Mashed Potatoes,Gà Sốt Hành Tây với Cà Rốt Nướng và Khoai Tây Nghiền
anzac-biscuits,Dessert,Món tráng miệng,Australian,Úc,Anzac biscuits,Bánh quy yến mạch Úc-New Zealand
spotted-dick,Dessert,Món tráng miệng,British,Anh,Spotted Dick,Bánh pudding trái cây khô
mushroom-soup-with-buckwheat,Side,Món ăn kèm,Croatian,Croatia,Mushroom soup with buckwheat,Súp nấm kiều mạch
spicy-north-african-potato-salad,Vegetarian,Chay,Moroccan,Ma-rốc,Spicy North African Potato Salad,Gỏi khoai tây Bắc Phi cay
paszteciki-polish-pasties,Beef,Thịt bò,Polish,Ba Lan,Paszteciki (Polish Pasties),Bánh Pateso Ba Lan
chicken-enchilada-casserole,Chicken,Thịt gà,Mexican, Mexico,Chicken Enchilada Casserole,Casserole Enchilada Gà
japanese-katsudon,Pork,Thịt heo,Japanese,Nhật Bản,Japanese Katsudon,Cơm thịt heo chiên xù kiểu Nhật
algerian-kefta-meatballs,Beef,Thịt bò,Algerian,Algeria,Algerian Kefta (Meatballs),Thịt viên Algeria
venetian-duck-ragu,Pasta,Mì,Italian,Ý,Venetian Duck Ragu,Ragu Vịt Kiểu Venice
baklava-with-spiced-nuts-ricotta--chocolate,Dessert,Món tráng miệng,Turkish,Thổ Nhĩ Kỳ,"Baklava with spiced nuts, ricotta & chocolate","Baklava hạt gia vị, phô mai ricotta và sô cô la"
jamaican-banana-fritters,Dessert,Món tráng miệng,Jamaican,Jamaica,Jamaican Banana Fritters,Chuối chiên
blueberry--lemon-friands,Dessert,Món tráng miệng,Australian,Úc,Blueberry & lemon friands,Bánh việt quất chanh
christmas-cake,Dessert,Món tráng miệng,British,Anh,Christmas cake,Bánh Giáng sinh
chicken-marengo,Chicken,Thịt gà,French,Pháp,Chicken Marengo,Gà Marengo
chivito-sandwich,Beef,Thịt bò,Uruguayan,Uruguay,Chivito sandwich,Bánh mì Bò
tall-skoleboller,Dessert,Món tráng miệng,Norwegian,Na Uy,Tall Skoleboller,Bánh Skoleboller kem trứng
choripán,Pork,Thịt heo,Argentinian,Argentina,Choripán,Bánh mì xúc xích nướng
sledz-w-oleju-polish-herrings,Seafood,Hải sản,Polish,Ba Lan,Sledz w Oleju (Polish Herrings),Cá trích ngâm dầu
crema-catalana,Dessert,Món tráng miệng,Spanish,Tây Ban Nha,Crema Catalana,Kem caramen kiểu Catalan
quick-gazpacho,Starter,Món khai vị,Spanish,Tây Ban Nha,Quick gazpacho,Súp lạnh Gazpacho
vietnamese-caramel-trout,Seafood,Hải sản,Vietnamese,Việt Nam,Vietnamese caramel trout,Cá hồi kho tộ
jamaican-spice-bun-recipe,Dessert,Món tráng miệng,Jamaican,Jamaica,Jamaican Spice Bun Recipe,Bánh mì ngọt Jamaica
thai-green-chicken-soup,Chicken,Thịt gà,Thai,Thái,Thai green chicken soup,Súp cà ri gà xanh Thái
stovetop-eggplant-with-harissa-chickpeas-and-cumin-yogurt,Vegetarian,Chay,American,Mỹ,"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt",Cà Tím Đậu Gà Sốt Harissa và Sữa Chua Thì Là
sugar-pie,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Sugar Pie,Bánh nướng đường
classic-christmas-pudding,Dessert,Món tráng miệng,British,Anh,Classic Christmas pudding,Bánh pudding Giáng Sinh
salmon-avocado-salad,Seafood,Hải sản,British,Anh,Salmon Avocado Salad,Salad Cá Hồi Bơ
rappie-pie,Chicken,Thịt gà,Canadian,Ca-na-đa,Rappie Pie,Bánh Khoai Tây Nghiền
flan,Dessert,Món tráng miệng,Uruguayan,Uruguay,Flan,Bánh flan
spanish-seafood-rice,Seafood,Hải sản,Spanish,Tây Ban Nha,Spanish seafood rice,Cơm hải sản Tây Ban Nha
cajun-spiced-fish-tacos,Seafood,Hải sản,Mexican, Mexico,Cajun spiced fish tacos,Taco cá cay Cajun
nasi-lemak,Seafood,Hải sản,Malaysian,Malaysia,Nasi lemak,Cơm dừa Mã Lai
gevulde-speculaas,Dessert,Món tráng miệng,Dutch,Hà Lan,Gevulde speculaas,Bánh quy hạnh nhân nhân gia vị
authentic-norwegian-kransekake,Dessert,Món tráng miệng,Norwegian,Na Uy,Authentic Norwegian Kransekake,Bánh hạnh nhân Na Uy
moussaka,Beef,Thịt bò,Greek,Hy Lạp,Moussaka,Món Moussaka
chocolate-souffle,Dessert,Món tráng miệng,French,Pháp,Chocolate Souffle,Souffle Sôcôla
osso-buco-alla-milanese,Miscellaneous,Hỗn hợp,Italian,Ý,Osso Buco alla Milanese,Osso Buco kiểu Milan
vietnamese-chicken-salad,Chicken,Thịt gà,Vietnamese,Việt Nam,Vietnamese chicken salad,Gỏi Gà
kafteji,Vegetarian,Chay,Tunisian,Tunisia,Kafteji,Rau củ chiên trứng
jam-jam-cookies,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Jam jam cookies,Bánh quy mứt
squid-chickpea--chorizo-salad,Seafood,Hải sản,Australian,Úc,"Squid, chickpea & chorizo salad",Salad Mực Đậu Gà Xúc Xích Chorizo
fiskesuppe-creamy-norwegian-fish-soup,Seafood,Hải sản,Norwegian,Na Uy,Fiskesuppe (Creamy Norwegian Fish Soup),Súp cá Nauy kem
seri-muka-kuih,Dessert,Món tráng miệng,Malaysian,Malaysia,Seri muka kuih,Bánh da lợn lá dứa
rogaliki-polish-croissant-cookies,Dessert,Món tráng miệng,Polish,Ba Lan,Rogaliki (Polish Croissant Cookies),Bánh sừng bò Rogaliki
padron-peppers,Vegan,Thuần chay,Spanish,Tây Ban Nha,Padron peppers,Ớt Padron
hot-and-sour-soup,Pork,Thịt heo,Chinese,Tiếng Trung,Hot and Sour Soup,Canh chua
churros,Dessert,Món tráng miệng,Spanish,Tây Ban Nha,Churros,Bánh Churros
french-omelette,Miscellaneous,Hỗn hợp,French,Pháp,French Omelette,Trứng tráng
ribollita,Vegetarian,Chay,Italian,Ý,Ribollita,Súp Ribollita kiểu Ý
knafeh,Dessert,Món tráng miệng,Saudi Arabian,Ả Rập Xê Út,Knafeh,Bánh pho mát sợi
polish-doughnuts-pączki,Dessert,Món tráng miệng,Polish,Ba Lan,Polish doughnuts (Pączki),Bánh rán Ba Lan
toad-in-the-hole,Pork,Thịt heo,British,Anh,Toad In The Hole,Lạp xưởng cuộn bánh pudding Yorkshire
panang-chicken-curry-kaeng-panang-gai,Chicken,Thịt gà,Thai,Thái,Panang chicken curry (kaeng panang gai),Cà Ri Gà
irish-stew,Beef,Thịt bò,Irish,Ai-len,Irish stew,Hầm kiểu Ailen
spaghetti-with-spanish-flavours,Pork,Thịt heo,Spanish,Tây Ban Nha,Spaghetti with Spanish flavours,Mỳ Ý vị Tây Ban Nha
spanish-fig--almond-balls,Dessert,Món tráng miệng,Spanish,Tây Ban Nha,Spanish fig & almond balls,Bánh tròn hạt hạnh nhân và sung Tây Ban Nha
egyptian-fatteh,Beef,Thịt bò,Egyptian,Ai cập,Egyptian Fatteh,Fatteh Ai Cập
beavertails,Dessert,Món tráng miệng,Canadian,Ca-na-đa,BeaverTails,Bánh Quai Vạc
mushroom--chestnut-rotolo,Vegetarian,Chay,British,Anh,Mushroom & Chestnut Rotolo,Rotolo Nấm Hạt Dẻ
chick-fil-a-sandwich,Chicken,Thịt gà,American,Mỹ,Chick-Fil-A Sandwich,Bánh Mì Kẹp Gà
steak-and-kidney-pie,Beef,Thịt bò,British,Anh,Steak and Kidney Pie,Bánh bò và thận
budino-di-ricotta,Dessert,Món tráng miệng,Italian,Ý,Budino Di Ricotta,Bánh Panna Cotta Pho Mát Ricotta
chilli-ginger-lamb-chops,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Chilli ginger lamb chops,Sườn cừu cay gừng
pizza-express-margherita,Miscellaneous,Hỗn hợp,Italian,Ý,Pizza Express Margherita,Pizza Margherita
tamiya,Vegetarian,Chay,Egyptian,Ai cập,Tamiya,Cơm tấm
pouding-chomeur,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Pouding chomeur,Bánh pudding lá phong
mbuzi-choma-roasted-goat,Goat,Dê,Kenyan,Kenya,Mbuzi Choma (Roasted Goat),Dê nướng
challah,Side,Món ăn kèm,Polish,Ba Lan,Challah,Bánh mì Challah
chocolate-gateau,Dessert,Món tráng miệng,French,Pháp,Chocolate Gateau,Bánh Gato Sôcôla
garides-saganaki,Seafood,Hải sản,Greek,Hy Lạp,Garides Saganaki,Tôm Nướng Phô Mai
three-fish-pie,Seafood,Hải sản,British,Anh,Three Fish Pie,Bánh Cá Ba Vị
lamb-rogan-josh,Lamb,Thịt cừu,Indian,Ấn Độ,Lamb Rogan josh,Cà ri cừu Rogan Josh
bryndzové-halušky,Pork,Thịt heo,Slovakian,Slovakia,Bryndzové Halušky,Bánh Khoai Tây Phô Mai Xông Khói
pork--sauerkraut-goulash,Pork,Thịt heo,Polish,Ba Lan,Pork & sauerkraut goulash,Goulash heo bắp cải chua
pate-chinois,Beef,Thịt bò,Canadian,Ca-na-đa,Pate Chinois,Bánh thịt cừu nghiền
jamaican-instant-pot-rice-and-beans,Vegetarian,Chay,Jamaican,Jamaica,Jamaican Instant Pot Rice and Beans,Cơm và Đậu kiểu Jamaica nấu Nồi áp suất
flapper-pie,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Flapper Pie,Bánh Kem Trứng
sticky-chicken,Chicken,Thịt gà,Australian,Úc,Sticky Chicken,Gà Sốt Mật
split-pea-soup,Side,Món ăn kèm,Canadian,Ca-na-đa,Split Pea Soup,Súp Đậu Hà Lan
adana-kebab,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Adana kebab,Kebab Adana
fårikål-norwegian-national-dish,Lamb,Thịt cừu,Norwegian,Na Uy,Fårikål (Norwegian National Dish),Cà ri cừu bắp cải
beef-stroganoff,Beef,Thịt bò,Russian,Nga,Beef stroganoff,Bò Stroganoff
smoked-haddock-kedgeree,Breakfast,Bữa sáng,Indian,Ấn Độ,Smoked Haddock Kedgeree,Cá tuyết hun khói Kedgeree
laksa-king-prawn-noodles,Seafood,Hải sản,Malaysian,Malaysia,Laksa King Prawn Noodles,Mì Tôm Laksa
potato-gratin-with-chicken,Chicken,Thịt gà,Italian,Ý,Potato Gratin with Chicken,Gà đút lò phô mai khoai tây
dulce-de-leche,Dessert,Món tráng miệng,Argentinian,Argentina,Dulce de Leche,Sữa đặc caramel
eton-mess,Dessert,Món tráng miệng,British,Anh,Eton Mess,Món tráng miệng Meringue Kem Trái Cây
jamaican-pepper-shrimp,Seafood,Hải sản,Jamaican,Jamaica,Jamaican Pepper Shrimp,Tôm Xào
mutabbaq,Miscellaneous,Hỗn hợp,Saudi Arabian,Ả Rập Xê Út,Mutabbaq,Bánh xèo thịt
